[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:10:59,944] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:11:11,448] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
